title,summary,also_called,group,primary_institute
Health Screening,"Screenings are tests that look for diseases before you have symptoms. Screening tests can find diseases early, when they're easier to treat. You can get some screenings in your doctor's office. Others need special equipment, so you may need to go to a different office or clinic. Some conditions that doctors commonly screen for include: Breast cancer and cervical cancer in women Colorectal cancer Diabetes High blood pressure High cholesterol Osteoporosis Overweight and obesity Prostate cancer in men Which tests you need depends on your age, your sex, your family history, and whether you have risk factors for certain diseases. After a screening test, ask when you will get the results and whom to talk to about them. Agency for Healthcare Research and Quality",Screening tests,Wellness and Lifestyle,
Health Statistics,"Health statistics are numbers that summarize information related to health. Researchers and experts from government, private, and non-profit agencies and organizations collect health statistics. They use the statistics to learn about public health and health care. Some of the types of statistics include: How many people in the country have a disease or how many people got the disease within a certain period of time How many people of a certain group have a disease. The groups could be based on location, race, ethnic group, sex, age, profession, income level, or level of education. This can help identify health disparities . Whether a treatment is safe and effective How many people were born and died. These are known as vital statistics. How many people have access to and use health care The quality and efficiency of our health care system Health care costs, including how much the government, employers, and individuals pay for health care. It could include how poor health can affect the country economically The impact of government programs and policies on health Risk factors for different diseases. An example would be how air pollution can raise your risk of lung diseases Ways to lower risk for diseases, such as exercise and weight loss to lower the risk of getting type 2 diabetes Numbers on a graph or in a chart may seem straightforward, but that's not always the case. It's important to be critical and consider the source. If needed, ask questions to help you understand the statistics and what they are showing.",,Health System,
Healthy Aging,"People in the U.S. are living longer, and the number of older adults in the population is growing. As we age, our minds and bodies change. Having a healthy lifestyle can help you deal with those changes. It may also prevent some health problems and help you to make the most of your life. A healthy lifestyle for older adults includes: Healthy eating . As you age, your dietary needs may change. You may need fewer calories, but you still need to get enough nutrients. A healthy eating plan includes Eating foods that give you lots of nutrients without a lot of extra calories. This includes fruits and vegetables, whole grains, lean meats, low-fat dairy, nuts, and seeds. Avoiding empty calories, such as foods like chips, candy, baked goods, soda, and alcohol Eating foods that are low in cholesterol and fat Drinking enough liquids, so you don't get dehydrated Regular physical activity . Being physically active may help you maintain a healthy weight and avoid chronic health problems. If you have not been active, you can start slowly and work up to your goal. How much exercise you need depends on your age and health. Check with your health care provider on what is right for you. Staying at a healthy weight . Being either overweight or underweight can lead to health problems. Ask your health care professional what a healthy weight for you may be. Healthy eating and exercise can help you get to that weight. Keeping your mind active. Lots of activities can keep your mind active and improve your memory , including learning new skills, reading, and playing games. Making your mental health a priority. Work on improving your mental health , for example by practicing mediation, relaxation techniques, or gratitude. Know the warning signs of a problem and ask for help if you are struggling. Participating in activities that you enjoy. People who are involved in hobbies and social and leisure activities may be at lower risk for some health problems. Doing things that you enjoy may help you feel happier and improve your thinking abilities. Playing an active role in your health care. Make sure that you get regular checkups and the health screenings that you need. You should know which medicines you are taking, why you need them, and how to take them properly . Not smoking. If you are a smoker, quitting is one of the most important things that you can do for your health. It can lower your risk of several different types of cancer, certain lung diseases, and heart disease. Taking steps to prevent falls . Older adults have a higher risk of falling. They are also more likely to fracture (break) a bone when they fall. Getting regular eye checkups , getting regular physical activity, and making your house safer can lower your risk of falling. Following these tips can help you to stay healthy as you age. Even if you have never done them before, it's never too late to start taking care of your health. If you have questions about these lifestyle changes or need help figuring out how to make them, ask your health care provider.",,"Older Adults, Wellness and Lifestyle",National Institute on Aging
Healthy Living,"What is healthy living? Healthy living means taking care of your body and mind by making choices that support your overall wellbeing. Many things affect your health. Some you can't control, like your genetic makeup or your age. But there are many daily habits you can change to help you feel your best. Creating new healthy habits takes time, but small, steady changes are easier to maintain and can become part of your everyday routine. Why is healthy living important? Healthy living can help you feel better, boost your energy, and lower your risk for serious health problems such as heart disease, cancer, and stroke. What steps can I take toward healthy living? You don't have to change everything at once. Start with a few steps to build a foundation for a healthier lifestyle. These can include: Get the screening tests recommended for you, including those specific to women's health and men's health Stay up to date on vaccines to protect yourself from disease Maintain a healthy weight that's right for you Eat a variety of healthy foods , and limit calories, added sugar, and saturated fat Be physically active , even small amounts of exercise can be helpful Keep your blood pressure and cholesterol in a healthy range Don't smoke , or take steps to quit if you do Protect your skin from too much sun Limit alcohol , or choose not to drink at all Get enough sleep each night to help your body and mind recharge Manage stress and work on improving your mental health , such as by practicing meditation, relaxation techniques, or gratitude Protect yourself from sexually transmitted infections (STIs) Visit your health care provider regularly for checkups See your dentist and eye care specialist for routine care Stay connected with friends, family, or community groups, and do activities you enjoy Healthy living is a lifelong journey. Over time, small steps can add up to big health benefits.",,Wellness and Lifestyle,
Healthy Sleep,"What is sleep? While you are sleeping your brain and body functions are still active. Sleep is a natural process that helps your body restore energy, supports learning and memory, and keeps you healthy. During sleep, your brain cycles through different stages of non-rapid eye movement (non-REM) sleep and rapid eye movement (REM) sleep. Non-REM sleep has three stages that range from light to deep sleep, while REM sleep is when most dreaming occurs. During each stage, your brain waves, breathing, heart rate, and body temperature change throughout the night. Certain phases of sleep help you: Feel rested and energetic the next day. Learn new information, get insight, and form memories. Give your heart and blood vessels a rest. Release growth hormone, which helps children grow and assists in muscle repair and tissue healing for everyone. Release sex hormones, which contribute to puberty and fertility. Maintain a healthy balance of hormones that control hunger and fullness. Strengthen your immune system by producing cytokines (hormones that help the body fight infection). You need all the stages to get a healthy sleep. How much sleep do I need? The amount of sleep you need depends on your age, lifestyle, health, and sleep patterns. The general recommendations for sleep are: Babies (4-12 months): 12-16 hours a day (including naps) Children (1-2 years): 11-14 hours a day (including naps) Children (3-5 years): 10-13 hours a day (including naps) Children (6-12 years): 9-12 hours a day Teens (13-18 years): 8-10 hours a day Adults (18 years and older): 7-9 hours a day During puberty, teenagers' biological clocks shift. They tend to fall asleep later and wake up later, which can conflict with the early school start times. This is one reason many teenagers don't get enough sleep. Some people think adults need less sleep as they age, but there is no evidence to support this. However, older adults often get less sleep or spend less time in the deep, restful stages of sleep. They also wake up more easily. It's not just the number of hours of sleep you get that matters. The quality of the sleep you get is also important. People whose sleep is frequently interrupted might not get enough of certain stages of sleep. If you are wondering whether you are getting enough sleep, including quality sleep, ask yourself: Do I have trouble getting up in the morning? Do I have trouble focusing during the day? Do I doze off during the day? If you answered yes to any of these questions, you may need to improve your sleep habits. What are the health effects of not getting enough sleep? Sleep is important for overall health. When you don't get enough sleep (sleep deprivation), it does more than just make you feel tired. It can impair your ability to think clearly, react quickly, and form memories. This increases your risk of making mistakes, taking risks, or getting into accidents. Sleep deprivation can also affect your mood, leading to: Irritability Problems with relationships, especially for children and teenagers Depression Anxiety It can also affect your physical health. Not getting enough sleep, or getting poor-quality sleep, increases your risk of: High blood pressure Heart disease Stroke Kidney disease Obesity Type 2 diabetes Not getting enough sleep can also lower your levels of hormones that help children grow and help the body build muscle, repair tissue, and fight infections. Sleep deprivation also magnifies the effect of alcohol. A tired person who drinks too much alcohol will be more impaired than a well-rested person who drinks the same amount. How can I get better sleep? You can take steps to improve your sleep habits. First, make sure that you allow yourself enough time for sleep. Getting enough sleep each night may help you feel happier and more productive during the day. To improve your sleep habits, it also may help to: Go to bed and wake up at the same time every day. Avoid caffeine , especially in the afternoon and evening. Avoid nicotine. Exercise regularly, but not too close to bedtime. Avoid alcoholic drinks before bed. Avoid large meals and drinks late at night. Don't take a nap after 3 p.m. Relax before bed by taking a bath, reading or listening to calm music. Keep your bedroom cool, dark, and quiet. Get rid of distractions such as TVs, computers, and phones. Get enough sunlight exposure during the day. If you can't fall asleep for 20 minutes, get up and do something relaxing. See a health care provider if you have continued trouble sleeping. You may have a sleep disorder , such as insomnia or sleep apnea . In some cases, your provider may suggest trying a sleep study or other treatments. If you are a shift worker, getting good sleep can be more challenging. You may also want to: Take naps and extend your total sleep time Keep the lights bright at work Limit shift changes to help your body adjust Limit caffeine to the first part of your shift Remove sound and light distractions in your bedroom during daytime sleep (for example, use light-blocking curtains or earplugs)",Sleep Hygiene,Brain and Nerves,"National Heart, Lung, and Blood Institute"
Hearing Aids,"A hearing aid is a small electronic device that you wear in or behind your ear. It makes some sounds louder. A hearing aid can help people hear more in both quiet and noisy situations. Hearing aids help people who have hearing loss from damage to the small sensory cells in the inner ear. The damage can occur as a result of disease, aging, or injury from noise or certain medicines. There are different types of hearing aids. They differ by size, their placement on or inside the ear, and how much they amplify sound. The hearing aid that will work best for you depends on what kind of hearing loss you have and how severe it is. If you think that you need a hearing aid, you have two different options: Over-the-counter (OTC) hearing aids, which you can buy directly. You don't have to get a hearing exam from a healthcare professional first. OTC hearing aids are for adults who have mild to moderate hearing loss. Prescription hearing aids, which you get from an audiologist (a health professional who specializes in hearing and balance disorders). The audiologist will program the hearing aids, based on how severe your hearing loss is. You may need prescription hearing aids or other devices if you have significant or complicated hearing loss. NIH: National Institute of Deafness and Communication Disorders",,"Ear, Nose and Throat",National Institute on Deafness and Other Communication Disorders
Hearing Disorders and Deafness,"It's frustrating to be unable to hear well enough to enjoy talking with friends or family. Hearing disorders make it hard, but not impossible, to hear. They can often be helped. Deafness can keep you from hearing sound at all. What causes hearing loss? Some possibilities are: Heredity Diseases such as ear infections and meningitis Trauma Certain medicines Long-term exposure to loud noise Aging There are two main types of hearing loss. One happens when your inner ear or auditory nerve is damaged. This type is usually permanent. The other kind happens when sound waves cannot reach your inner ear. Earwax buildup, fluid, or a punctured eardrum can cause it. Treatment or surgery can often reverse this kind of hearing loss. Untreated, hearing problems can get worse. If you have trouble hearing, you can get help. Possible treatments include hearing aids , cochlear implants , special training, certain medicines, and surgery. NIH: National Institute on Deafness and Other Communication Disorders","Hearing loss, Presbycusis","Older Adults, Ear, Nose and Throat",National Institute on Deafness and Other Communication Disorders
Hearing Problems in Children,"Most children hear and listen from the moment they are born. They learn to talk by imitating the sounds around them and the voices of their parents and caregivers. But about 2 or 3 out of every 1,000 children in the United States are born deaf or hard-of-hearing. More lose their hearing later during childhood. Babies should have a hearing screening before they are a month old. If your child has a hearing loss, it is important to consider the use of hearing devices and other communication options by age 6 months. That's because children start learning speech and language long before they talk. Hearing problems can be temporary or permanent. Sometimes, ear infections , injuries or diseases affect hearing. If your child does not hear well, get help. NIH: National Institute on Deafness and Other Communication Disorders",,"Children and Teenagers, Ear, Nose and Throat",National Institute on Deafness and Other Communication Disorders
Heart Attack,"Each year almost 800,000 Americans have a heart attack. A heart attack happens when blood flow to the heart suddenly becomes blocked. Without the blood coming in, the heart can't get oxygen. If not treated quickly, the heart muscle begins to die. But if you do get quick treatment, you may be able to prevent or limit damage to the heart muscle. That's why it's important to know the symptoms of a heart attack and call 911 if you or someone else is having them. You should call, even if you are not sure that it is a heart attack. The most common symptoms in men and women are: Chest discomfort. It is often in center or left side of the chest. It usually lasts more than a few minutes. It may go away and come back. It can feel like pressure, squeezing, fullness, or pain . It also can feel like heartburn or indigestion. Shortness of breath. Sometimes this is your only symptom. You may get it before or during the chest discomfort. It can happen when you are resting or doing a little bit of physical activity. Discomfort in the upper body. You may feel pain or discomfort in one or both arms, the back, shoulders, neck, jaw, or upper part of the stomach. You may also have other symptoms, such as nausea, vomiting, dizziness, and lightheadedness. You may break out in a cold sweat. Sometimes women will have different symptoms then men. For example, they are more likely to feel tired for no reason. The most common cause of heart attacks is coronary artery disease (CAD). With CAD, there is a buildup of cholesterol and other material, called plaque, on their inner walls or the arteries. This is atherosclerosis . It can build up for years. Eventually an area of plaque can rupture (break open). A blood clot can form around the plaque and block the artery. A less common cause of heart attack is a severe spasm (tightening) of a coronary artery. The spasm cuts off blood flow through the artery. At the hospital, health care providers make a diagnosis based on your symptoms, blood tests, and different heart health tests . Treatments may include medicines and medical procedures such as coronary angioplasty . After a heart attack, cardiac rehabilitation and lifestyle changes can help you recover. NIH: National Heart, Lung, and Blood Institute","MI, Myocardial infarction","Blood, Heart and Circulation","National Heart, Lung, and Blood Institute"
Heart Disease in Women,"What is heart disease? Heart disease is a general term that includes many types of heart problems. It's also called cardiovascular disease, which means heart and blood vessel disease. Coronary artery disease (also called coronary heart disease) is the most common type of heart disease in both men and women. It happens slowly over time when a sticky substance called plaque builds up in the arteries that supply your heart muscle with blood. The plaque narrows or blocks blood flow to the heart muscle and can lead to: Angina - chest pain from lack of blood flow Heart attacks - when part of the heart muscle dies from loss of blood flow Heart failure - when your heart can't pump enough blood to meet your body's needs Arrhythmia - a problem with the rate or rhythm of your heartbeat How does heart disease affect women? In the United States, heart disease is the number one cause of death in women. But women are often not diagnosed with heart disease as quickly as men are. That's because: Women are more likely than men to have ""silent"" heart disease, meaning that they don't have symptoms. Health care providers may not recognize heart disease in women because women's symptoms may be different from men's symptoms. Women are more likely than men to have certain types of heart disease that can be harder to diagnose. A delay in diagnosis may mean a delay in medical care that could help prevent serious problems, such as a heart attack. That's why it's important to learn about your risk for heart disease, the symptoms in women, and how to keep your heart healthy. What types of heart disease do women get? Women can get any type of heart disease. Like men, the most common type of heart disease among women is coronary artery disease. But there are certain types of heart disease which are less common, but affect women more often than men: Coronary microvascular disease - Chest pain from spasms (sudden tightening) in the smallest arteries of the heart that pinch off blood flow. It typically happens during rest or routine activities. This serious condition increases your risk of having a heart attack or other heart diseases. This type may be harder to diagnose since blockages in smaller arteries can be harder to see on imaging tests. Broken heart syndrome - Strong chest pain or other signs that look like a heart attack. It's caused by the stress of powerful emotions, such as deep grief, anger, or surprise. It can happen even if you're healthy. It mostly affects women after menopause and usually doesn't cause any lasting damage. Variant angina - A rare type of strong chest pain from spasms in the heart arteries. The pain usually happens in a pattern during sleep. Variant angina rarely causes a heart attack. Which women are more likely to develop heart disease? Your risk for developing heart disease increases with: Menopause . Women can develop heart disease at any age, but your risk increases after your periods stop, usually by age 55. Before menopause, your body makes more estrogen (a female hormone ) which helps protect against heart disease. That's why women generally develop coronary artery disease 10 years later than men. During and after menopause, estrogen levels drop and your risk for heart diseases goes up. If your periods stop before age 40, your risk will be higher than other women your age. Family history of heart disease. Your risk for heart disease may be higher if your: Mother or sister had heart disease before age 65. Father or brother had heart disease before age 55. Problems during pregnancy , such as high blood pressure , gestational diabetes , anemia , and high blood pressure . Use of hormonal birth control (pills, patches, or vaginal rings with estrogen and progesterone). Endometriosis . Polycystic ovary syndrome . Inflammatory and autoimmune diseases . Metabolic syndrome . Mental health issues , such as stress, anxiety , or depression . Health risks from a lack physical activity . Obesity or being overweight. Diabetes . Low HDL cholesterol levels . Mild to moderate high blood pressure . Smoking . If you have one or more risks for heart disease, ask your health care provider for help understanding your risk level. Ask if you need any heart tests to help catch heart disease early. What are the symptoms of heart disease and heart attack in women? When women have symptoms of heart disease , they may include: Pain or discomfort in the chest that may be dull and heavy or sharp Pain in the neck, jaw, throat, upper belly, or back Nausea or vomiting Unusual fatigue Shortness of breath (feeling like you can't get enough air) during physical activity Women who have coronary artery disease are more likely than men to have chest pain when resting or doing daily activities, rather than during exercise. They're also more likely than men to feel chest pain from mental stress. Symptoms of a heart attack in women may also be different than in men. Chest pain is the most common symptom for both sexes. It may feel like crushing or squeezing. But women are somewhat less likely than men to have chest pain. During a heart attack , women may feel: Pressure or tightness in the chest Pain in the upper back, arms, neck, jaw or throat Dizziness Unusual fatigue Indigestion , heartburn , nausea, or vomiting Stomach pain Shortness of breath Heart attacks usually don't look like the sudden, dramatic events we see in the movies. The symptoms may be mild or strong. They may start slowly. They can stop and then come back. Can heart disease in women be prevented? You can help lower your risk by: Learning how to prevent heart disease and making heart-healthy habits part of your daily life. Asking your provider about your personal risk for heart disease and the best way to manage your heart health. Remember, women can have heart disease without symptoms. But if you pay attention to your risk for heart disease, you can take action to prevent problems or keep them from getting worse. NIH: National Heart, Lung, and Blood Institute",,"Women, Blood, Heart and Circulation","National Heart, Lung, and Blood Institute"
Heart Diseases,"What is heart disease? Heart disease is a general term that includes many types of heart problems. It's a type of cardiovascular disease, which means heart and blood vessel disease. Heart disease is the leading cause of death in the United States, but there are ways to prevent and manage many types of heart disease. What are the types of heart disease? There are many different types of heart disease. Some you may be born with, called congenital heart disease . Other types develop during your lifetime. Coronary artery disease (also called coronary heart disease) is the most common type of heart disease. It happens slowly over time when a sticky substance called plaque builds up in the arteries that supply your heart muscle with blood. The plaque narrows or blocks blood flow to the heart muscle and can lead to other heart problems: Angina - chest pain from lack of blood flow Heart attacks - when part of the heart muscle dies from loss of blood flow Heart failure - when your heart can't pump enough blood to meet your body's needs Arrhythmia - a problem with the rate or rhythm of your heartbeat Other types of heart diseases may affect your heart valves or heart muscle ( cardiomyopathy ). What causes heart diseases? The causes of heart disease depend on the type of disease. Some possible causes include lifestyle, genetics, infections, medicines, and other diseases. Who is more likely to develop heart diseases? There are many different factors that can make you more likely to develop heart disease. Some of these factors you can change, but others you cannot. Age. Your risk of heart disease goes up as you get older. Sex. Some factors may affect heart disease risk differently in women than in men. Family history and genetics. A family history of early heart disease raises your risk. And research has shown that some genes are linked to a higher risk of certain heart diseases. Race/ethnicity. Heart disease is the leading cause of death in most racial and ethnic groups in the United States. However, certain groups have higher risks than others. This includes Black people, White people, and American Indian/Alaska Native people. Lifestyle habits. Over time, unhealthy lifestyle habits can raise your risk of heart disease. These can include: Eating a diet high in saturated fats , refined carbohydrates, and salt . Not getting enough physical activity . Drinking too much alcohol . Smoking and exposure to secondhand smoke . Too much stress . Having other medical conditions can raise your risk of heart diseases. These conditions include: High blood pressure . High cholesterol levels . Diabetes . Obesity . Autoimmune and inflammatory diseases. Chronic kidney disease . Metabolic syndrome . What are the symptoms of heart disease? Your symptoms will depend on the type of heart disease you have. You may not have symptoms at first. In some cases, you may not know you have heart disease until you have a complication such as a heart attack. How are heart diseases diagnosed? To find out if you have heart disease, your health care provider will: Ask about your medical history , including your symptoms Ask about your family health history , including relatives who have had heart disease Do a physical exam Likely run heart tests and blood tests In some cases, your provider may refer you to a cardiologist (a doctor who specializes in heart diseases) for tests, diagnosis, and care. What are the treatments for heart disease? Treatment plans for heart disease depend on the type of heart disease you have, how serious your symptoms are, and what other health conditions you have. Possible treatments may include: Heart-healthy lifestyle changes Medicines Procedures or surgeries Cardiac rehabilitation Can heart diseases be prevented? You may be able to lower your risk of certain heart diseases by making heart-healthy lifestyle changes and managing any other medical conditions you have. NIH: National Heart, Lung, and Blood Institute",Cardiac diseases,"Older Adults, Blood, Heart and Circulation","National Heart, Lung, and Blood Institute"
Heart Failure,"What is heart failure? Heart failure means that your heart can't pump enough oxygen-rich blood to meet your body's needs. Heart failure doesn't mean that your heart has stopped or is about to stop beating. But without enough blood flow, your organs may not work well, which can cause serious problems. Heart failure can affect one or both sides of your heart: With right-sided heart failure , your heart is too weak to pump enough blood to your lungs to get oxygen. With left-sided heart failure , your heart can't pump enough oxygen-rich blood out to your body. This happens when the left side of your heart becomes either: Too weak to pump enough blood. Too thick or stiff to relax and fill with enough blood. Left-sided heart failure is more common than right-sided heart failure. What causes heart failure? Heart failure can start suddenly after a medical condition or injury damages your heart muscle. But in most cases, heart failure develops slowly from long-term medical conditions. Conditions that can cause heart failure include: Arrhythmia (a problem with the rate or rhythm of your heartbeat) Cardiomyopathy Congenital heart defects or other types of heart diseases that you are born with Coronary artery disease Endocarditis Heart attack Heart valve diseases High blood pressure A blood clot in your lung Diabetes Certain severe lung diseases , such as COPD (chronic obstructive pulmonary disease) Obesity Over time, left-sided heart failure can lead to right-sided heart failure. Who is more likely to develop heart failure? Heart failure can happen at any age. It happens to both men and women, but men often develop it at a younger age than women. Your chance of developing heart failure increases if: You're 65 years old or older. Aging can weaken and stiffen your heart muscle. Your family health history includes relatives who have or have had heart failure. You have changes in your genes that affect your heart tissue. You have habits that can harm your heart , including: Smoking Eating foods high in fat , cholesterol , and sodium (salt) Having an inactive lifestyle Alcohol use disorder (AUD) Illegal drug use You have other medical conditions that can affect your heart , including: Any heart or blood vessel conditions, including high blood pressure Serious lung diseases Infection, such as HIV or COVID-19 Obesity Diabetes Sleep apnea Chronic kidney disease Anemia Thyroid disease Iron overload disease Cancer treatments that can harm your heart, such as radiation and chemotherapy You are African American. African Americans are more likely to develop heart failure and have more serious cases at younger ages than people of other races. Factors such as stigma, discrimination, income, education, and geographic region can also affect their risk of heart failure. What are the symptoms of heart failure? The symptoms of heart failure depend on which side of your heart is affected and how serious your condition has become. Most symptoms are caused by reduced blood flow to your organs and fluid buildup in your body. Fluid buildup happens because the flow of blood through your heart is too slow. As a result, blood backs up in the vessels that return the blood to your heart. Fluid may leak from the blood vessels and collect in the tissues of your body, causing swelling ( edema ) and other problems. Symptoms of heart failure may include: Feeling short of breath (like you can't get enough air) when you do things like climbing stairs. This may be one of the first symptoms you notice. Fatigue or weakness even after rest. Coughing . Swelling and weight gain from fluid in your ankles, lower legs, or abdomen (belly). Difficulty sleeping when lying flat. Nausea and loss of appetite. Swelling in the veins of your neck. Needing to urinate (pee) often . At first you may have no symptoms or mild symptoms. As the disease gets worse, your symptoms will usually bother you more. What other problems does heart failure cause? Fluid buildup and reduced blood flow to your organs can lead to serious problems, including: Breathing problems from fluid in and around your lungs (also called congestive heart failure) Kidney or liver damage , including cirrhosis Malnutrition if fluid buildup makes eating uncomfortable or if your stomach doesn't get enough blood flow to digest food properly Other heart conditions , such as irregular heartbeat and sudden cardiac arrest Pulmonary hypertension How is heart failure diagnosed? To find out if you have heart failure, your health care provider will Ask about your medical history , including your symptoms Ask about your family health history , including relatives who have had heart failure Do a physical exam Likely run heart tests and blood tests , including a brain natriuretic peptide (BNP) test In some cases, your provider may refer you to a cardiologist (a doctor who specializes in heart diseases) for tests, diagnosis, and care. What are the treatments for heart failure? Your treatment will depend on the type of heart failure you have and how serious it is. There's no cure for heart failure. But treatment can help you live longer with fewer symptoms. Even with treatment, heart failure usually gets worse over time, so you'll likely need treatment for the rest of your life. Most treatment plans include: Taking medicine Eating less sodium and drinking less liquid to control fluid buildup Making other changes, such as quitting smoking , managing stress , and getting as much physical activity as your provider recommends Treating any conditions that may make heart failure worse You may need heart surgery if: You have a congenital heart defect or damage to your heart that can be fixed. The left side of your heart is getting weaker and putting a device in your chest could help. Devices include: An implantable cardioverter defibrillator. A biventricular pacemaker (cardiac resynchronization therapy). A mechanical heart pump (a ventricular assist device (VAD) or a total artificial heart). Your heart doctor recommends a heart transplant because your heart failure is life-threatening and nothing else is helping. As part of your treatment, you'll need to pay close attention to your symptoms, because heart failure can worsen suddenly. Your provider may suggest a cardiac rehabilitation program to help you learn how to manage your condition. Can heart failure be prevented? You may be able to prevent or delay heart failure if you: Work with your provider to manage any health conditions that increase your risk of developing heart failure Make healthy changes in your eating, exercise, and other daily habits to help prevent heart disease NIH: National Heart, Lung, and Blood Institute","CHF, Cardiac failure, Congestive heart failure, Left-sided heart failure, Right-sided heart failure","Older Adults, Blood, Heart and Circulation","National Heart, Lung, and Blood Institute"
Heart Health Tests,"Heart diseases are the number one killer in the United States. They are also a major cause of disability . If you do have heart disease, it is important to find it early, when it is easier to treat. Blood tests and heart health tests can help find heart diseases or identify problems that can lead to heart diseases. There are several different types of heart health tests. Your health care provider will decide which test or tests you need, based on your symptoms (if any), risk factors , and medical history. Cardiac Catheterization Cardiac catheterization is a medical procedure used to diagnose and treat some heart conditions. For the procedure, your provider puts a catheter (a long, thin, flexible tube) into a blood vessel in your arm, groin, or neck, and threads it to your heart. The provider can use the catheter to: Do a coronary angiography. This involves putting a special type of dye in the catheter, so the dye can flow through your bloodstream to your heart. Then your provider takes x-rays of your heart. The dye allows your provider to see your coronary arteries on the x-ray, and to check for coronary artery disease (CAD). CAD is caused by plaque buildup in the arteries . Take samples of your blood and heart muscle. Examine your heart valves . Do procedures such as angioplasty or minor heart surgeries to repair congenital heart defects or replace heart valves. Cardiac CT Scan A cardiac CT ( computed tomography ) scan is a painless imaging test that uses x-rays to take detailed pictures of your heart and its blood vessels. Computers can combine these pictures to create a three-dimensional (3D) model of your whole heart. This test can help providers detect or evaluate various heart problems, including: Coronary artery disease Calcium buildup in the coronary arteries Congenital heart defects Problems with the aorta (the main artery that carries blood away from the heart) Problems with heart function and valves Pericardial diseases Before you have the test, you get an injection of contrast dye. The dye highlights your heart and blood vessels in the pictures. The CT scanner is a large, tunnel-like machine. You lie still on a table that slides you into the scanner, and the scanner takes the pictures. Cardiac MRI Cardiac MRI ( magnetic resonance imaging ) is a painless imaging test that uses radio waves, magnets, and a computer to create detailed pictures of your heart. It can help your provider figure out whether you have heart disease, and if so, how severe it is. A cardiac MRI can also help your provider decide the best way to treat heart problems such as: Congenital heart defects Coronary artery disease Heart valve problems Pericarditis Cardiac tumors Damage from a heart attack The MRI is a large, tunnel-like machine. You lie still on a table that slides you into the MRI machine. The machine makes loud noises as it takes pictures of your heart. Sometimes before the test, you might get an injection of contrast dye. The dye highlights your heart and blood vessels in the pictures. Chest X-Ray A chest x-ray creates pictures of the organs and structures inside your chest, such as your heart, lungs, and blood vessels. It can reveal signs of heart failure , as well as lung disorders and other causes of symptoms not related to heart disease. Coronary Angiography Coronary angiography (angiogram) is a procedure that uses contrast dye and x-ray pictures to look at the insides of your arteries. It can show whether plaque is blocking your arteries and how severe the blockage is. Providers use this procedure to diagnose heart diseases after chest pain , sudden cardiac arrest (SCA), or abnormal results from other heart tests such as an EKG or a stress test. You usually have a cardiac catheterization to inject the dye into your coronary arteries. Then the provider will take special x-rays while the dye is flowing through your coronary arteries. The dye lets your provider study the flow of blood through your heart and blood vessels. Echocardiography Echocardiography, or echo, is a painless test that uses sound waves to create moving pictures of your heart. The pictures show the size and shape of your heart. They also show how well your heart's chambers and valves are working. Providers use an echo to diagnose many different heart problems, and to check how severe they are. There are several different types of echocardiography. For transthoracic echocardiography (the most common type), a technician applies gel to your chest. The gel helps sound waves reach your heart. The technician moves a transducer (wand-like device) across your chest. The transducer connects to a computer. It transmits ultrasound waves into your chest, and the waves bounce (echo) back. The computer converts the echoes into pictures of your heart. Electrocardiogram (EKG), (ECG) An electrocardiogram, also called an ECG or EKG, is a painless test that detects and records your heart's electrical activity. It shows how fast your heart is beating and whether its rhythm is steady or irregular. An EKG may be part of a routine exam to screen for heart disease. Or you may get it to detect and study heart problems such as heart attacks, arrhythmia , and heart failure. For the test, you lie still on a table and a nurse or technician attaches electrodes (patches that have sensors) to the skin on your chest, arms, and legs. Wires connect the electrodes to a machine that records your heart's electrical activity. Stress Testing Stress testing looks at how your heart works during physical stress. It can help to diagnose coronary artery disease, and to check how severe it is. It can also check for other problems, including heart valve disease and heart failure. For the test, you exercise (or are given medicine if you are unable to exercise) to make your heart work hard and beat fast. While this is happening, you get an EKG and blood pressure monitoring. Before or after the test, you might also have an echocardiogram, or other imaging tests such as a nuclear scan . For the nuclear scan, you get an injection of a tracer (a radioactive substance), which travels to your heart. Special cameras detect the energy from the tracer to craeate pictures of your heart. You have pictures taken after you exercise, and then after you rest. NIH: National Heart, Lung, and Blood Institute",Cardiac Diagnostic Tests,"Blood, Heart and Circulation","National Heart, Lung, and Blood Institute"
